kmeans,stock
5,USB
1,UDR
7,ULTA
4,UAA
4,UA
5,UNP
0,UAL
4,UNH
0,UPS
5,URI
5,UTX
4,UHS
3,UNM
0,VFC
0,VLO
6,VAR
1,VTR
6,VRSN
6,VRSK
8,VZ
4,VRTX
0,VIAB
6,V
8,VNO
4,VMC
8,WMT
2,WBA
8,WM
4,WAT
1,WEC
3,WFC
1,WELL
0,WDC
0,WU
3,WRK
0,WY
0,WHR
0,WMB
6,WLTW
3,WYNN
1,XEL
0,XRX
0,XLNX
1,DTE
1,DUK
8,DRE
2,DXC
3,ETFC
5,EMN
5,ETN
0,EBAY
6,ECL
7,EIX
6,EW
4,EA
5,EMR
1,ETR
2,EOG
2,EQT
6,EFX
8,EQIX
1,EQR
1,ESS
6,EL
8,RE
1,ES
1,EXC
4,EXPE
5,EXPD
1,EXR
3,XOM
0,FFIV
4,FB
2,FAST
8,FRT
3,FDX
6,FIS
3,FITB
1,FE
6,FISV
5,FLIR
5,FLS
2,FLR
0,FMC
2,FL
2,F
5,FTV
5,FBHS
5,BEN
3,FCX
2,GPS
4,GRMN
4,IT
0,GD
2,GE
8,GIS
3,GM
0,GPC
4,GILD
6,GPN
3,GS
2,GT
3,GWW
2,HAL
2,HBI
3,HOG
7,HRS
6,HIG
4,HAS
4,HCA
1,HCP
2,HP
7,HSIC
2,HES
3,HPE
0,HLT
6,HOLX
0,HD
5,HON
8,HRL
0,HST
0,HPQ
4,HUM
3,HBAN
0,HII
6,IDXX
6,INFO
5,ITW
4,ILMN
4,INCY
2,IR
0,INTC
8,ICE
0,IBM
5,IP
0,IPG
7,IFF
6,INTU
6,ISRG
3,MMM
3,AOS
6,ABT
4,ABBV
6,ACN
4,ATVI
3,AYI
6,ADBE
4,AAP
0,AMD
8,AES
3,AMG
6,AFL
6,A
6,APD
6,AKAM
0,ALK
3,ALB
8,ARE
4,ALXN
4,ALGN
0,ALLE
7,AGN
2,ADS
1,LNT
6,ALL
0,GOOGL
0,GOOG
7,MO
0,AMZN
1,AEE
0,AAL
1,AEP
5,AXP
0,AIG
1,AMT
1,AWK
5,AMP
4,ABC
5,AME
4,AMGN
5,APH
